LINK,Pob
60353405,800
60353406,1007
60353407,599
60353408,815
60353409,692
60353501,1057
60353502,872
60353503,798
60353504,800
60353505,1551
60353506,786
60353507,710
60353508,732
60910101,1606
60910102,1735
60910103,625
60910104,663
60910105,727
60910106,704
60910107,1225
60910108,934
60910109,1336
60910110,978
60910201,1216
60910202,959
60910203,578
60910204,802
60910205,729
60910206,593
60910207,651
60910208,1040
60910209,1387
60910301,1018
60910302,1448
60910303,634
60910304,1065
60910305,750
60910306,1376
60910307,1338
60910308,792
60910309,1142
60910310,1062
60910311,777
60910312,431
60910313,481
60910401,1672
60910402,1395
60910403,1642
60910404,1837
60910405,1507
60910406,1676
60910407,1576
60910408,709
60910409,2050
60910410,2058
60910411,1575
60910412,1373
60910501,2045
60910502,1218
60910503,1712
60910504,829
60910505,1168
60910506,806
60910507,1036
60910508,861
60910509,587
60910510,88
60910601,1231
60910602,950
60910603,811
60910604,815
60910605,729
60910606,1171
60910607,1470
60910608,1873
60910609,1592
60910610,1500
60910611,1226
60910701,1256
60910702,1069
60910703,776
60910704,1049
60910705,927
60910706,1019
60910707,1586
60910708,1453
60910709,1263
60910710,1384
60910801,781
60910802,603
60910803,877
60910804,1116
60910805,816
60910806,1004
60910807,1491
60910808,1622
60910809,1382
60910810,1162
60910901,654
60910902,1229
60910903,1339
60910904,1336
60910905,588
60910906,1069
60910907,1325
60910908,664
60911001,1017
60911002,613
60911003,1442
60911004,716
60911005,1342
60911006,1532
60911007,1079
60911008,939
60911009,886
60911010,1767
60911011,1491
60911101,1322
60911102,1354
60911103,600
60911104,590
60911105,964
60911106,965
60911107,1183
60911108,1367
60911109,1362
60911201,1297
60911202,1539
60911203,1235
60911204,1218
60911205,1136
60911206,1703
60911207,983
60911208,1746
60911301,1381
60911302,1225
60911303,1181
60911304,1450
60911305,1623
60911306,1286
60911307,1056
60911308,1232
60911309,1570
60911310,1435
60911311,953
60911312,946
60911401,2013
60911402,1520
60911403,1047
60911404,1203
60911405,1537
60911406,1420
60911407,1460
60911408,1318
60911409,930
60911410,1867
60911411,1587
60911412,1035
60911413,1086
60911501,864
60911502,918
60911503,963
60911504,1339
60911505,991
60911506,1064
60911507,834
60911508,1182
60911509,712
60911510,1024
60911511,1513
60911512,911
60911513,813
60911601,1300
60911602,1481
60911603,999
60911604,1461
60911605,1544
60911606,984
60911607,556
60911608,872
60911609,880
60911610,1019
60911611,1860
60911612,839
60911613,1541
60911614,1283
60911701,996
60911702,1509
60911703,1668
60911704,925
60911705,1457
60911706,1310
60911707,1550
60911708,1028
60911709,1397
60911710,1311
60911711,1307
60911712,1248
60911713,973
60911714,1847
60911801,930
60911802,822
60911803,1952
60911804,1388
60911805,1349
60911806,1563
60911807,1474
60911808,1119
60911809,790
60911810,777
60911811,1670
60911812,1465
60911901,711
60911902,1554
60911903,1244
60911904,1605
60911905,678
60911906,608
60911907,700
60911908,1241
60911909,678
60911910,1034
60911911,971
60911912,1354
60912001,1203
60912002,1402
60912003,554
60912004,746
60912005,1643
60912006,792
60912007,1111
60912008,639
60912009,813
60912010,1179
60912011,1199
60912012,840
60912013,873
60912101,1063
60912102,896
60912103,1007
60912104,779
60912105,710
60912106,1002
60912107,1385
60912108,840
60912109,781
60912110,901
60912111,1393
60912112,1621
60912113,1223
60912114,1177
60912115,991
60912116,1338
60912117,1651
60912201,1289
60912202,1033
60912203,1255
60912204,1207
60912205,1027
60912206,1621
60912207,1149
60912208,907
60912209,773
60912210,1828
60912211,464
60912212,390
60912213,963
60912214,595
60912215,1489
60912216,1538
60912217,763
60912301,979
60912302,1107
60912303,811
60912304,1343
60912305,693
60912306,1338
60912307,689
60912308,784
60912309,628
60912310,1615
60912311,1233
60912312,690
60912313,621
60912314,1894
60912315,873
60912316,355
60912317,499
60912318,204
60912319,261
60912401,708
60912402,768
60912403,1127
60912404,1551
60912405,1161
60912406,894
60912407,451
